"232484821","Sent MS Mail to Txxxx with cc details for the $15.00 service, deliverable the next day by 3.00 p.m.  Mastercard # 5495 0000 0000 0000, exp 05/98, name Cxxxx & Nxxxx Sxxxx."
"232490549","I recvd fax loan form for max amnt, have credit card number of #4340000000000000, visa exp. 12/98 card inname of Exxxx Vxxxx,  to have check fed ex ed ASAP to owner, I need to call tommorrow am to find out where to fed ex it to his business address ofCxxxx Tours 2109 Cxxx Wxxx Mxxxx, Fl 33140 or his home the address of record. Phone is 305-000-0000"
"232513439","Charge premium to Amex 3728 0000 0000 000, exp 11/97, Mxxxxx L Kxxxxx. Gave details to Fxxxx Mxxxxxx to set him up for credit card payments and to process the charge."
"232463994","Please have someone give Mrs Pxxxx Axxx a call back at 716-700 0000 with a status on the PC Draft, there is money in suspense and i am not sure why, so i did not tell her. Thanks!!"
"232549559","Max loans will be FedExed for the three PNO policies and processed by Axxx Fxxxxx.  Also, a loan form will be included for FV 3146000.  (Customers Visa # is 4190000000000000 exp 11/97)"
"232625427","please stop check 220 2000000 that was sent 6/10 reg mail and reissu fedex. Please charge to credit card 4610 0000 0000 0000 exp 05/99...thanks, Sxxx"
"232653042","MARKET PLACE: Exxxx or Bxxxx-Please set husband and wife up on monthly credit card payments. Name on the credit card is Hxxxx-Jxxxx Lxxxx (Maiden name, name on policy is different) Master card number 5424 0000 0000 0000 Exp 11-30-00. Thanks so much."
"232729393","Mxxx, Both policies are on the same credit card.  However we try to draft from the cc for the wife, we are unable to get any money.  Please call and verify all credit card info.  And if correct ask them to call company. MC 5398 0000 0000 0000  Exp 04/99."
"233296481","Processed max loans ($2853.00 & $1729.00), cheques to be FedEx'd at policyowners expense Standard Overnight. 4271 0000 0000 0000 exp 07/98 Exxxx Bxxxx to 402 Cxxxx Hxxxx Rd, Prospect Heights, IL 60070. Will call Mr Bxxxx with tracking #."
"233371768","4:30pm I processed a max loan with a 21 in division to have the ck kept here so we can fedex it MONDAY.    MasterCard# 5430 0000 0000 0000 exp. 10/98"
"233773445","dod 4/25 m6258000 db$1554.00, m7711000 db $1589.00, m8692000 db$1433.00, m9294000 db$1060.00. will be fed xing claim form to customer at 2119 Cxxxx Ave Sxxxx NY 12300. tel# 518-300-0000. discover 6011-0000-0000-0000 exp 12/99"
"233823125","forwarding cc info 5490 0000 0000 0000"
"233985027","Faxed loan form cover to owner/wife (with his permission) at 510-300-0000. "
"234629577","MARKETPLACE: Please draft annual prem from CC Visa #4791000000000000 Exp 02/2000. Thank you"
"234660148","MARKETPLACE: Please change the billing to annual CC MC #5491--0000-0000-0000 Exp 04/2000.Thank you"
"234669308","MARKETPLACE: Please setup billing for annual CC. MC #5300000000000000 Exp 05/99 Thank you"
"234680889","Setup on monthly EFT visa #4783000000000000 Exp 08/01"
"240795875","New CC info:  4128 0000 0000 0000; exp 08/03.  Exxxx Hxxxx"
"240814231","Please update new cc info ae acct 3719-00000000000 exp 11/2000, draft current then continue monthly, thank you"
"240827139","please set up on cc AE acct 3737-0000-0000-000 exp 10/2004, monhtlhy, draft current, thank you"
"240941113","Please update new cc info AE acct 3727-00000000000, exp 12/2000, continue annual, thank you"
"240944991","CC/annl; 4217 0000 0000 0000; exp 03/03.  Sxxxx S. Dxxxx.    Enrolled in CEPS"
"241058590","New CC info:  5307000000000000; exp 05/03.  Dxxx Hxxxx.     Updated in CEPS"
"273791827","cust wants to take out max loan and have it overnighted to him please  CC INFO: NAME-Rxxxxxx Mxxxxxx BILLING- 46 Sxxxxxxx Rd  Cxxxxxxxx Mxxxx xx 10567 CC Visa  4408 0000 0000 0000 exp 10/18 code: 333"
"273646780","New credit card info. Received letter stating needing new info. Visa 4266000000000000 exp. 01/2010 security code-333. Name on Card: Lxxxxx Sxxxxxxx Billing address same as address on file."
